,num,Kilometer,NationalIdentNum,OperationalPoint_num,ValidityDateStart,ValidityDateEnd
0,OPRailwayLocation0,115.6,ESL270200071,OperationalPoint0,2015-11-19,2069-04-20
1,OPRailwayLocation1,115.6,ESL270200131,OperationalPoint0,2015-11-19,2069-04-20
2,OPRailwayLocation2,0,ESL222200450,OperationalPoint0,2015-11-19,2069-04-20
3,OPRailwayLocation3,0,ESL222200460,OperationalPoint0,2015-11-19,2069-04-20
4,OPRailwayLocation4,108.014,ESL276003370,OperationalPoint1,2015-11-19,2069-04-20
5,OPRailwayLocation5,108.077,ESL276003380,OperationalPoint1,2015-11-19,2069-04-20
6,OPRailwayLocation6,108.014,ESL276003350,OperationalPoint1,2015-11-19,2069-04-20
7,OPRailwayLocation7,108.014,ESL276003360,OperationalPoint1,2015-11-19,2069-04-20
8,OPRailwayLocation8,2.5,ESL712100200,OperationalPoint2,2015-11-19,2069-04-20
9,OPRailwayLocation9,231.472,ESL710001400,OperationalPoint2,2015-11-19,2069-04-20
10,OPRailwayLocation10,0,ESL704100190,OperationalPoint3,2015-11-19,2069-04-20
11,OPRailwayLocation11,145.4,ESL700001300,OperationalPoint3,2015-11-19,2069-04-20
12,OPRailwayLocation12,365.216,ESL220002800,OperationalPoint4,2015-11-19,2069-04-20
13,OPRailwayLocation13,365.216,ESL220002810,OperationalPoint4,2015-11-19,2069-04-20
14,OPRailwayLocation14,103.515,ESL276002805,OperationalPoint4,2015-11-19,2069-04-20
15,OPRailwayLocation15,103.515,ESL276002815,OperationalPoint4,2015-11-19,2069-04-20
16,OPRailwayLocation16,103.515,ESL276002830,OperationalPoint4,2015-11-19,2069-04-20
17,OPRailwayLocation17,103.515,ESL276002840,OperationalPoint4,2015-11-19,2069-04-20
18,OPRailwayLocation18,5.1,ESL942002030,OperationalPoint5,2015-11-19,2069-04-20
19,OPRailwayLocation19,5.1,ESL942002031,OperationalPoint5,2015-11-19,2069-04-20
20,OPRailwayLocation20,1.5,ESL934300220,OperationalPoint5,2015-11-19,2069-04-20
21,OPRailwayLocation21,0,ESL914100060,OperationalPoint6,2015-11-19,2069-04-20
22,OPRailwayLocation22,19.2,ESL100100000,OperationalPoint6,2015-11-19,2069-04-20
23,OPRailwayLocation23,19.2,ESL100100020,OperationalPoint6,2015-11-19,2069-04-20
24,OPRailwayLocation24,1.344,ESL914000320,OperationalPoint6,2015-11-19,2069-04-20
25,OPRailwayLocation25,1.65,ESL948200196,OperationalPoint7,2015-11-19,2069-04-20
26,OPRailwayLocation26,13.3,ESL200200000,OperationalPoint7,2015-11-19,2069-04-20
27,OPRailwayLocation27,13.3,ESL200200080,OperationalPoint7,2015-11-19,2069-04-20
28,OPRailwayLocation28,2.012,ESL944200210,OperationalPoint7,2015-11-19,2069-04-20
29,OPRailwayLocation29,2.211,ESL944200220,OperationalPoint7,2015-11-19,2069-04-20
30,OPRailwayLocation30,22,ESL892002430,OperationalPoint8,2015-11-19,2069-04-20
31,OPRailwayLocation31,289.7,ESL897100140,OperationalPoint9,2015-11-19,2069-04-20
32,OPRailwayLocation32,2.8,ESL893200360,OperationalPoint10,2015-11-19,2069-04-20
33,OPRailwayLocation33,0.8,ESL893200250,OperationalPoint11,2015-11-19,2069-04-20
34,OPRailwayLocation34,0.9,ESL893200370,OperationalPoint12,2015-11-19,2069-04-20
35,OPRailwayLocation35,0,ESL885300230,OperationalPoint13,2015-11-19,2069-04-20
36,OPRailwayLocation36,569.004,ESL400400000,OperationalPoint14,2015-11-19,2069-04-20
37,OPRailwayLocation37,0.5,ESL897009370,OperationalPoint15,2015-11-19,2069-04-20
38,OPRailwayLocation38,5.7,ESL896009318,OperationalPoint16,2015-11-19,2069-04-20
39,OPRailwayLocation39,5.7,ESL896009362,OperationalPoint16,2015-11-19,2069-04-20
40,OPRailwayLocation40,0.5,ESL895009330,OperationalPoint17,2015-11-19,2069-04-20
41,OPRailwayLocation41,-0.65,ESL876500080,OperationalPoint18,2015-11-19,2069-04-20
42,OPRailwayLocation42,0,ESL897009370,OperationalPoint19,2015-11-19,2069-04-20
43,OPRailwayLocation43,0,ESL896009380,OperationalPoint20,2015-11-19,2069-04-20
44,OPRailwayLocation44,2.2,ESL897009314,OperationalPoint21,2015-11-19,2069-04-20
45,OPRailwayLocation45,39.956,ESL528007510,OperationalPoint22,2015-11-19,2069-04-20
46,OPRailwayLocation46,56.787,ESL528007510,OperationalPoint23,2015-11-19,2069-04-20
47,OPRailwayLocation47,70.671,ESL528007500,OperationalPoint24,2015-11-19,2069-04-20
48,OPRailwayLocation48,64.05,ESL528007510,OperationalPoint24,2015-11-19,2069-04-20
49,OPRailwayLocation49,61.961,ESL528007500,OperationalPoint25,2015-11-19,2069-04-20
50,OPRailwayLocation50,51.961,ESL528007500,OperationalPoint26,2015-11-19,2069-04-20
51,OPRailwayLocation51,40.8,ESL528007500,OperationalPoint27,2015-11-19,2069-04-20
52,OPRailwayLocation52,39.447,ESL528007500,OperationalPoint28,2015-11-19,2069-04-20
53,OPRailwayLocation53,30.94,ESL528007500,OperationalPoint29,2015-11-19,2069-04-20
54,OPRailwayLocation54,22.543,ESL528007500,OperationalPoint30,2015-11-19,2069-04-20
55,OPRailwayLocation55,18.77,ESL528007500,OperationalPoint31,2015-11-19,2069-04-20
56,OPRailwayLocation56,12.6,ESL528007500,OperationalPoint32,2015-11-19,2069-04-20
57,OPRailwayLocation57,8.9,ESL528007500,OperationalPoint33,2015-11-19,2069-04-20
58,OPRailwayLocation58,4.25,ESL528007500,OperationalPoint34,2015-11-19,2069-04-20
59,OPRailwayLocation59,10.2,ESL422007400,OperationalPoint35,2015-11-19,2069-04-20
60,OPRailwayLocation60,27.022,ESL422007400,OperationalPoint36,2015-11-19,2069-04-20
61,OPRailwayLocation61,40.291,ESL422007400,OperationalPoint37,2015-11-19,2069-04-20
62,OPRailwayLocation62,69.4,ESL422007400,OperationalPoint38,2015-11-19,2069-04-20
63,OPRailwayLocation63,92.5,ESL422007400,OperationalPoint39,2015-11-19,2069-04-20
64,OPRailwayLocation64,7.7,ESL030510000,OperationalPoint40,2015-11-19,2069-04-20
65,OPRailwayLocation65,7.7,ESL030510010,OperationalPoint40,2015-11-19,2069-04-20
66,OPRailwayLocation66,34.8,ESL030510000,OperationalPoint41,2015-11-19,2069-04-20
67,OPRailwayLocation67,34.8,ESL030510010,OperationalPoint41,2015-11-19,2069-04-20
68,OPRailwayLocation68,61.4,ESL030510010,OperationalPoint42,2015-11-19,2069-04-20
69,OPRailwayLocation69,61.4,ESL030510000,OperationalPoint42,2015-11-19,2069-04-20
70,OPRailwayLocation70,96.8,ESL030510000,OperationalPoint43,2015-11-19,2069-04-20
71,OPRailwayLocation71,96.8,ESL030510010,OperationalPoint43,2015-11-19,2069-04-20
72,OPRailwayLocation72,0.5,ESL418006650,OperationalPoint43,2015-11-19,2069-04-20
73,OPRailwayLocation73,0,ESL032510100,OperationalPoint43,2015-11-19,2069-04-20
74,OPRailwayLocation74,96.204,ESL036510300,OperationalPoint43,2015-11-19,2069-04-20
75,OPRailwayLocation75,96.65,ESL036510310,OperationalPoint43,2015-11-19,2069-04-20
76,OPRailwayLocation76,121.4,ESL030510000,OperationalPoint44,2015-11-19,2069-04-20
77,OPRailwayLocation77,121.4,ESL030510010,OperationalPoint44,2015-11-19,2069-04-20
78,OPRailwayLocation78,150,ESL030510000,OperationalPoint45,2015-11-19,2069-04-20
79,OPRailwayLocation79,150,ESL030510010,OperationalPoint45,2015-11-19,2069-04-20
80,OPRailwayLocation80,0.4,ESL032510100,OperationalPoint46,2015-11-19,2069-04-20
81,OPRailwayLocation81,49.925,ESL428006640,OperationalPoint46,2015-11-19,2069-04-20
82,OPRailwayLocation82,147.808,ESL402006500,OperationalPoint47,2015-11-19,2069-04-20
83,OPRailwayLocation83,119.24,ESL402006500,OperationalPoint48,2015-11-19,2069-04-20
84,OPRailwayLocation84,42.5,ESL040310000,OperationalPoint49,2015-11-19,2069-04-20
85,OPRailwayLocation85,42.5,ESL040310010,OperationalPoint49,2015-11-19,2069-04-20
86,OPRailwayLocation86,273.614,ESL400400000,OperationalPoint50,2015-11-19,2069-04-20
87,OPRailwayLocation87,279.276,ESL400400000,OperationalPoint51,2015-11-19,2069-04-20
88,OPRailwayLocation88,285.466,ESL400400000,OperationalPoint52,2015-11-19,2069-04-20
89,OPRailwayLocation89,295.366,ESL400400000,OperationalPoint53,2015-11-19,2069-04-20
90,OPRailwayLocation90,306.16,ESL400400005,OperationalPoint54,2015-11-19,2069-04-20
91,OPRailwayLocation91,306.16,ESL400400000,OperationalPoint54,2015-11-19,2069-04-20
92,OPRailwayLocation92,314.7,ESL400400005,OperationalPoint55,2015-11-19,2069-04-20
93,OPRailwayLocation93,314.7,ESL400400000,OperationalPoint55,2015-11-19,2069-04-20
94,OPRailwayLocation94,9.469,ESL410006200,OperationalPoint55,2015-11-19,2069-04-20
