,num,UniqueOPID,OPName,OPTafTapCode,OPType@Value,OPType@OptionalValue,OPGeographicLocation@Longitude,OPGeographicLocation@Latitude,OPGeographicLocation@num,MemberStateCode,ValidityDateStart,ValidityDateEnd
0,OperationalPoint0,ESB7901,BIF. AIGUES,NYA,80,junction,+2.1916000,41.4558000,OPGeographicLocation0,ES,2015-11-19,2069-04-20
1,OperationalPoint1,ESB7943,"BIF. SAGRERA-AG.KM. 108,0",NYA,80,junction,+2.2016600,41.4278500,OPGeographicLocation1,ES,2015-11-19,2069-04-20
2,OperationalPoint2,ESB8000,"BIF. KM.231,5",NYA,80,junction,-2.1688700,42.8914300,OPGeographicLocation2,ES,2015-11-19,2069-04-20
3,OperationalPoint3,ESB8100,BIF. CASTILLA,NYA,80,junction,-2.9580000,42.6818000,OPGeographicLocation3,ES,2015-11-19,2069-04-20
4,OperationalPoint4,ESB8801,BIF. VILANOVA,NYA,80,junction,+2.1845000,41.3946000,OPGeographicLocation4,ES,2015-11-19,2069-04-20
5,OperationalPoint5,ESB9521,BIF. REBOLLEDO,NYA,80,junction,-3.6736000,40.3569000,OPGeographicLocation5,ES,2015-11-19,2069-04-20
6,OperationalPoint6,ESB9701,BIF. P. PIO,NYA,80,junction,-3.8674000,40.5106000,OPGeographicLocation6,ES,2015-11-19,2069-04-20
7,OperationalPoint7,ESB9811,BIF. VICALVARO-MERCANCIAS,NYA,80,junction,-3.5632000,40.4380000,OPGeographicLocation7,ES,2015-11-19,2069-04-20
8,OperationalPoint8,ESCT712,CENTRAL TERMICA,NYA,10,station,-0.3708500,41.1815900,OPGeographicLocation8,ES,2015-11-19,2069-04-20
9,OperationalPoint9,ESXX001,FASA RENAULT,NYA,80,junction,-4.4962900,41.9277900,OPGeographicLocation9,ES,2015-11-19,2069-04-20
10,OperationalPoint10,ESXX003,MERCABARNA,NYA,80,junction,+2.1456000,41.3250800,OPGeographicLocation10,ES,2015-11-19,2069-04-20
11,OperationalPoint11,ESXX004,GENERAL MOTORS,NYA,80,junction,-1.1859100,41.7473200,OPGeographicLocation11,ES,2015-11-19,2069-04-20
12,OperationalPoint12,ESXX005,TALLERES,NYA,80,junction,+2.1340500,41.3462200,OPGeographicLocation12,ES,2015-11-19,2069-04-20
13,OperationalPoint13,ESXX006,MUSEO DELICIAS,NYA,80,junction,-3.6910500,40.3982700,OPGeographicLocation13,ES,2015-11-19,2069-04-20
14,OperationalPoint14,ESXX008,SEVILLA-CTT,NYA,80,junction,-5.9651900,37.3995500,OPGeographicLocation14,ES,2015-11-19,2069-04-20
15,OperationalPoint15,ESXX009,ENSIDESA,NYA,80,junction,-5.7299200,43.5340300,OPGeographicLocation15,ES,2015-11-19,2069-04-20
16,OperationalPoint16,ESXX010,EL MUSEL,NYA,80,junction,-5.7024200,43.5599500,OPGeographicLocation16,ES,2015-11-19,2069-04-20
17,OperationalPoint17,ESXX011,CENTRAL LECHERA,NYA,80,junction,-5.7828400,43.3876900,OPGeographicLocation17,ES,2015-11-19,2069-04-20
18,OperationalPoint18,ESXX012,"AGUJA KM 8,640",NYA,80,junction,-3.6921300,40.3460700,OPGeographicLocation18,ES,2015-11-19,2069-04-20
19,OperationalPoint19,ESXX013,BIF. ENSIDESA,NYA,80,junction,-5.7256600,43.5443400,OPGeographicLocation19,ES,2015-11-19,2069-04-20
20,OperationalPoint20,ESXX014,BIF. PARQUE DE CARBONES,NYA,80,junction,-5.7250600,43.5526900,OPGeographicLocation20,ES,2015-11-19,2069-04-20
21,OperationalPoint21,ESXX015,CANTERA LUGONES,NYA,80,junction,-5.8408700,43.4050400,OPGeographicLocation21,ES,2015-11-19,2069-04-20
22,OperationalPoint22,ES00002,VALSEQUILLO,NYA,10,station,-5.3485200,38.4133200,OPGeographicLocation22,ES,2015-11-19,2069-04-20
23,OperationalPoint23,ES00005,PEÑARROYA-PUEBLONUEVO,NYA,20,small station,-5.2745000,38.2919000,OPGeographicLocation23,ES,2015-11-19,2069-04-20
24,OperationalPoint24,ES00006,C. DE K.(ANTIGUA BELMEZ),NYA,10,station,-5.2081200,38.2629900,OPGeographicLocation24,ES,2015-11-19,2069-04-20
25,OperationalPoint25,ES00007,VILLANUEVA DEL REY (APD),NYA,70,passenger stop,-5.1222000,38.2294000,OPGeographicLocation25,ES,2015-11-19,2069-04-20
26,OperationalPoint26,ES00008,ESPIEL,NYA,10,station,-5.0468500,38.1766000,OPGeographicLocation26,ES,2015-11-19,2069-04-20
27,OperationalPoint27,ES00010,ALHONDIGUILLA-VILLAVICIOSA,NYA,10,station,-4.9499000,38.1196000,OPGeographicLocation27,ES,2015-11-19,2069-04-20
28,OperationalPoint28,ES00012,EL PARRALEJO,NYA,70,passenger stop,-4.9419000,38.1164000,OPGeographicLocation28,ES,2015-11-19,2069-04-20
29,OperationalPoint29,ES00013,EL VACAR-VILLAHARTA,NYA,10,station,-4.8530000,38.0768000,OPGeographicLocation29,ES,2015-11-19,2069-04-20
30,OperationalPoint30,ES00014,OBEJO,NYA,10,station,-4.7895000,38.0258000,OPGeographicLocation30,ES,2015-11-19,2069-04-20
31,OperationalPoint31,ES00015,CERRO MURIANO,NYA,10,station,-4.7694000,38.0020000,OPGeographicLocation31,ES,2015-11-19,2069-04-20
32,OperationalPoint32,ES00016,BALANZONA,NYA,10,station,-4.7589000,37.9737000,OPGeographicLocation32,ES,2015-11-19,2069-04-20
33,OperationalPoint33,ES00017,LOS PRADILLOS,NYA,10,station,-4.7676000,37.9192000,OPGeographicLocation33,ES,2015-11-19,2069-04-20
34,OperationalPoint34,ES00018,MIRABUENO,NYA,10,station,-4.7734000,37.9149000,OPGeographicLocation34,ES,2015-11-19,2069-04-20
35,OperationalPoint35,ES01001,EL SORBITO,NYA,20,small station,-5.7067000,37.2073000,OPGeographicLocation35,ES,2015-11-19,2069-04-20
36,OperationalPoint36,ES01003,ARAHAL,NYA,20,small station,-5.5484000,37.2681000,OPGeographicLocation36,ES,2015-11-19,2069-04-20
37,OperationalPoint37,ES01005,MARCHENA,NYA,20,small station,-5.4254000,37.3342000,OPGeographicLocation37,ES,2015-11-19,2069-04-20
38,OperationalPoint38,ES01007,OSUNA,NYA,20,small station,-5.1148000,37.2338000,OPGeographicLocation38,ES,2015-11-19,2069-04-20
39,OperationalPoint39,ES01009,PEDRERA,NYA,20,small station,-4.8937000,37.2224000,OPGeographicLocation39,ES,2015-11-19,2069-04-20
40,OperationalPoint40,ES02000,LA MAROTA,NYA,10,station,-4.9995000,37.7912000,OPGeographicLocation40,ES,2015-11-19,2069-04-20
41,OperationalPoint41,ES02001,SANTAELLA ,NYA,10,station,-4.8920000,37.5897000,OPGeographicLocation41,ES,2015-11-19,2069-04-20
42,OperationalPoint42,ES02002,PUENTE GENIL-HERRERA ,NYA,10,station,-4.8223000,37.3597000,OPGeographicLocation42,ES,2015-11-19,2069-04-20
43,OperationalPoint43,ES02003,ANTEQUERA-SANTA ANA,NYA,10,station,-4.7202000,37.0714000,OPGeographicLocation43,ES,2015-11-19,2069-04-20
